date,0x20240820,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,oplus-ufcs,oplus-ufcs,end
crc32,0xf2e78607,NA,0xf279748,NA,0x29e56ed3,NA,0x151857a0,NA,0xc87d05bc,NA,0x3527ebcd,NA,0x870bad23,NA,0x91f4de31,NA,end
max_current,300,NA,1200,NA,1700,NA,10900,NA,1600,NA,5000,NA,3000,NA,10900,NA,end
fcc,6154,NA,6172,NA,6164,NA,6316,NA,6243,NA,6500,NA,5662,NA,5728,NA,end
0,3572,306,1180,1103,89,1636,81,8936,600,1593,15,2646,4869,2968,68,10979,end
1,3639,278,926,1105,89,1636,81,8936,600,1593,233,4955,311,2928,100,10995,end
2,3680,276,917,1105,603,1660,110,11013,705,1568,198,4981,301,2924,99,11000,end
3,3677,274,866,1105,614,1654,96,11010,657,1543,250,4926,361,2933,100,9188,end
4,3741,273,927,1105,619,1651,100,9194,708,1521,207,5001,301,2931,110,9186,end
5,3738,271,915,1105,610,1647,151,9194,661,1508,198,5000,312,2927,151,9187,end
6,3737,270,917,1105,602,1637,100,9191,757,1496,199,5011,301,2931,100,9188,end
7,3788,270,867,1104,610,1631,100,9189,656,1477,199,4927,360,2930,100,9187,end
8,3787,268,926,1105,617,1633,110,9192,763,1466,260,4927,301,2934,101,9188,end
9,3743,268,917,1105,664,1625,151,9195,712,1463,195,5008,311,2938,161,9187,end
10,3810,266,916,1105,612,1623,100,9199,711,1449,201,4989,351,2938,99,9185,end
11,3790,265,926,1106,609,1624,101,9197,711,1451,201,4954,311,2940,100,9193,end
12,3788,266,867,1104,612,1621,151,9200,758,1447,261,4919,301,2940,151,9196,end
13,3795,266,916,1105,613,1621,100,9200,711,1440,201,4859,311,2939,100,9194,end
14,3845,265,917,1105,662,1615,111,9200,711,1443,197,4970,301,2938,100,9196,end
15,3790,265,926,1105,610,1615,151,9206,711,1445,261,4970,362,2938,140,9193,end
16,3853,265,866,1104,663,1615,90,9207,758,1442,201,4898,312,2934,111,7360,end
17,3790,265,916,1105,613,1607,151,7406,709,1438,201,4856,301,2934,151,7359,end
18,3851,264,926,1105,659,1605,151,7405,757,1438,209,4954,311,2940,151,7358,end
19,3850,263,917,1105,610,1605,161,7407,710,1434,251,4929,351,2940,151,7360,end
20,3961,263,917,1105,663,1603,151,7403,761,1432,201,4879,311,2942,151,7359,end
21,3864,263,916,1105,610,1599,151,7408,710,1430,201,4853,300,2940,161,7361,end
22,3899,262,875,1106,660,1595,100,7407,761,1427,209,5045,311,2940,151,7360,end
23,3897,262,916,1106,613,1593,151,7407,704,1421,251,5015,301,2940,101,7359,end
24,3838,262,917,1105,662,1591,161,7409,762,1419,201,4989,361,2947,151,7360,end
25,3891,262,864,1105,669,1591,151,7406,758,1416,212,4975,301,2945,151,7356,end
26,3852,260,926,1105,612,1588,151,7408,711,1415,201,4944,311,2949,161,7357,end
27,3875,260,917,1105,662,1585,151,7410,758,1416,252,4922,301,2947,151,7361,end
28,3930,260,917,1105,607,1587,100,7345,757,1413,202,4900,306,2948,151,7360,end
29,3891,260,927,1105,662,1581,161,7345,761,1406,204,5045,351,2945,151,7360,end
30,3891,259,866,1105,660,1584,151,7351,709,1408,201,5038,311,2946,151,7359,end
31,3947,258,917,1105,659,1581,151,7350,772,1398,201,5020,301,2952,109,7354,end
32,3886,258,917,1105,661,1579,151,7347,759,1403,262,5006,311,2954,151,7361,end
33,3946,258,927,1105,612,1582,151,7350,758,1400,201,4985,301,2948,151,7360,end
34,3942,257,867,1105,661,1578,161,7349,710,1399,201,4977,362,2948,151,7362,end
35,3951,257,916,1105,660,1574,151,7356,808,1396,211,4964,311,2954,151,7362,end
36,3944,257,926,1106,643,1573,100,7357,711,1392,201,4955,301,2960,152,7361,end
37,3944,256,917,1105,613,1570,175,7356,761,1395,252,4935,311,2953,201,6036,end
38,3937,256,916,1106,670,1570,161,6060,757,1384,202,4927,301,2956,150,6034,end
39,3955,254,867,1105,661,1570,201,6055,760,1388,211,4917,361,2953,201,6032,end
40,4151,255,926,1106,665,1566,151,6054,759,1389,201,4900,301,2954,161,6033,end
41,3949,254,916,1105,610,1567,201,6060,760,1380,252,4885,311,2953,151,6036,end
42,3977,255,917,1105,660,1564,161,6059,755,1383,211,4871,299,2953,201,6035,end
43,3953,254,867,1105,663,1562,201,6060,756,1383,201,4853,311,2956,151,6033,end
44,4014,253,927,1105,661,1561,151,6063,765,1377,251,4842,301,2953,212,6035,end
45,3993,253,916,1106,658,1561,201,6063,760,1378,212,4824,361,2954,151,6035,end
46,4017,252,916,1105,663,1555,161,6063,762,1375,201,4878,301,2956,201,6035,end
47,4035,252,927,1105,662,1551,201,6063,761,1369,251,4866,311,2956,151,6034,end
48,3991,252,866,1106,668,1553,151,6064,758,1372,201,4844,301,2957,212,6036,end
49,4022,252,916,1105,653,1548,201,6066,808,1369,211,4823,312,2961,150,6035,end
50,4024,252,926,1106,663,1544,161,6062,760,1364,228,4899,351,2954,201,6034,end
51,4051,250,916,1105,670,1542,201,6065,762,1363,260,3981,311,2953,151,6036,end
52,4053,250,866,1105,662,1540,151,6064,808,1361,251,3967,301,2953,211,6033,end
53,4037,250,916,1106,663,1538,201,6062,759,1359,301,3936,311,2956,151,6034,end
